"Release","Property","freq","count","class"
"2016-06-15","http://purl.org/dc/elements/1.1/identifier",41018,41018,"dul-Places"
"2016-06-15","http://purl.org/dc/elements/1.1/publisher",41018,41018,"dul-Places"
"2016-06-15","http://schema.org/aggregateRating",1280,41018,"dul-Places"
"2016-06-15","http://schema.org/description",435,41018,"dul-Places"
"2016-06-15","http://schema.org/image",23470,41018,"dul-Places"
"2016-06-15","http://schema.org/interactionCount",7607,41018,"dul-Places"
"2016-06-15","http://schema.org/location",40903,41018,"dul-Places"
"2016-06-15","http://schema.org/openingHours",6459,41018,"dul-Places"
"2016-06-15","http://schema.org/priceRange",67,41018,"dul-Places"
"2016-06-15","http://schema.org/review",9564,41018,"dul-Places"
"2016-06-15","http://schema.org/telephone",33143,41018,"dul-Places"
"2016-06-15","http://schema.org/url",9960,41018,"dul-Places"
"2016-06-15","http://www.3cixty.com/ontology#descriptionScore",41018,41018,"dul-Places"
"2016-06-15","http://www.3cixty.com/ontology#editorialScore",41018,41018,"dul-Places"
"2016-06-15","http://www.3cixty.com/ontology#posterScore",41018,41018,"dul-Places"
"2016-06-15","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",121904,41018,"dul-Places"
"2016-06-15","http://www.w3.org/2000/01/rdf-schema#label",41018,41018,"dul-Places"
"2016-06-15","http://www.w3.org/2002/07/owl#sameAs",39743,41018,"dul-Places"
"2016-06-15","http://www.w3.org/2003/01/geo/wgs84_pos#location",41018,41018,"dul-Places"
"2016-06-15","http://data.ign.fr/def/topo#importance",66,41018,"dul-Places"
"2016-06-15","http://vocab.org/transit/terms/route",2320,41018,"dul-Places"
"2016-06-15","http://www.w3.org/2000/01/rdf-schema#seeAlso",122,41018,"dul-Places"
"2016-09-09","http://data.linkedevents.org/def/location#businessType",125410,44968,"dul-Places"
"2016-09-09","http://data.linkedevents.org/def/location#businessTypeTop",46575,44968,"dul-Places"
"2016-09-09","http://data.linkedevents.org/def/location#cell",44968,44968,"dul-Places"
"2016-09-09","http://linkedevents.org/ontology/poster",8323,44968,"dul-Places"
"2016-09-09","http://purl.org/dc/elements/1.1/identifier",44968,44968,"dul-Places"
"2016-09-09","http://purl.org/dc/elements/1.1/publisher",44968,44968,"dul-Places"
"2016-09-09","http://schema.org/aggregateRating",1720,44968,"dul-Places"
