"","p","dep","number_of_distinct_entity","freq","normFreq","mean","sd","sem"
"112","http://schema.org/review","2016-03-11",20692,2211,0.106852890005799,0.161371451800277,0.0497997948621147,0.0176068863243502
"113","http://schema.org/review","2016-03-22",20692,2211,0.106852890005799,0.161371451800277,0.0497997948621147,0.0176068863243502
"114","http://schema.org/review","2016-09-09",44968,10697,0.237880270414517,0.161371451800277,0.0497997948621147,0.0176068863243502
"115","http://schema.org/review","2016-06-15",41018,9564,0.233165927153932,0.161371451800277,0.0497997948621147,0.0176068863243502
"116","http://schema.org/review","2016-05-27",25828,3862,0.149527644416912,0.161371451800277,0.0497997948621147,0.0176068863243502
"117","http://schema.org/telephone","2016-05-03",26066,20938,0.803268625796056,0.822691083714855,0.0393611910221356,0.0139162825436656
"118","http://schema.org/telephone","2016-03-11",20692,18325,0.885607964430698,0.822691083714855,0.0393611910221356,0.0139162825436656
"119","http://schema.org/telephone","2016-04-09",27858,22411,0.804472682891809,0.822691083714855,0.0393611910221356,0.0139162825436656
"120","http://schema.org/telephone","2016-06-15",41018,33143,0.808011117070554,0.822691083714855,0.0393611910221356,0.0139162825436656
"121","http://schema.org/telephone","2016-03-22",20692,18325,0.885607964430698,0.822691083714855,0.0393611910221356,0.0139162825436656
"122","http://schema.org/telephone","2016-05-13",26827,21567,0.80392887762329,0.822691083714855,0.0393611910221356,0.0139162825436656
"123","http://schema.org/telephone","2016-09-09",44968,35371,0.786581569115816,0.822691083714855,0.0393611910221356,0.0139162825436656
"124","http://schema.org/telephone","2016-05-27",25828,20767,0.804049868359919,0.822691083714855,0.0393611910221356,0.0139162825436656
"125","http://schema.org/url","2016-04-09",27858,5432,0.194988872137268,0.210115000883658,0.0158510399877854,0.00560418893211108
"126","http://schema.org/url","2016-03-22",20692,4309,0.208244732263677,0.210115000883658,0.0158510399877854,0.00560418893211108
"127","http://schema.org/url","2016-05-13",26827,5511,0.205427367950199,0.210115000883658,0.0158510399877854,0.00560418893211108
"128","http://schema.org/url","2016-03-11",20692,4309,0.208244732263677,0.210115000883658,0.0158510399877854,0.00560418893211108
"129","http://schema.org/url","2016-09-09",44968,9982,0.221980074719801,0.210115000883658,0.0158510399877854,0.00560418893211108
"130","http://schema.org/url","2016-05-03",26066,5049,0.19370060615361,0.210115000883658,0.0158510399877854,0.00560418893211108
"131","http://schema.org/url","2016-06-15",41018,9960,0.242820225266956,0.210115000883658,0.0158510399877854,0.00560418893211108
"132","http://schema.org/url","2016-05-27",25828,5308,0.205513396314078,0.210115000883658,0.0158510399877854,0.00560418893211108
"133","http://vocab.org/transit/terms/route","2016-09-09",44968,2523,0.0561065646682085,0.0563335495338702,0.000321005075472213,0.000226984865661702
"134","http://vocab.org/transit/terms/route","2016-06-15",41018,2320,0.0565605343995319,0.0563335495338702,0.000321005075472213,0.000226984865661702
"135","http://www.3cixty.com/ontology#descriptionScore","2016-03-11",20692,20692,1,1,0,0
"136","http://www.3cixty.com/ontology#descriptionScore","2016-04-09",27858,27858,1,1,0,0
"137","http://www.3cixty.com/ontology#descriptionScore","2016-05-13",26827,26827,1,1,0,0
"138","http://www.3cixty.com/ontology#descriptionScore","2016-06-15",41018,41018,1,1,0,0
"139","http://www.3cixty.com/ontology#descriptionScore","2016-03-22",20692,20692,1,1,0,0
"140","http://www.3cixty.com/ontology#descriptionScore","2016-05-03",26066,26066,1,1,0,0
"141","http://www.3cixty.com/ontology#descriptionScore","2016-05-27",25828,25828,1,1,0,0
"142","http://www.3cixty.com/ontology#descriptionScore","2016-09-09",44968,44968,1,1,0,0
"143","http://www.3cixty.com/ontology#editorialScore","2016-03-22",20692,20692,1,1,0,0
"144","http://www.3cixty.com/ontology#editorialScore","2016-03-11",20692,20692,1,1,0,0
"145","http://www.3cixty.com/ontology#editorialScore","2016-06-15",41018,41018,1,1,0,0
"146","http://www.3cixty.com/ontology#editorialScore","2016-04-09",27858,27858,1,1,0,0
"147","http://www.3cixty.com/ontology#editorialScore","2016-05-13",26827,26827,1,1,0,0
"148","http://www.3cixty.com/ontology#editorialScore","2016-09-09",44968,44968,1,1,0,0
"149","http://www.3cixty.com/ontology#editorialScore","2016-05-27",25828,25828,1,1,0,0
"150","http://www.3cixty.com/ontology#editorialScore","2016-05-03",26066,26066,1,1,0,0
"151","http://www.3cixty.com/ontology#posterScore","2016-05-27",25828,25828,1,1,0,0
"152","http://www.3cixty.com/ontology#posterScore","2016-04-09",27858,27858,1,1,0,0
"153","http://www.3cixty.com/ontology#posterScore","2016-03-22",20692,20692,1,1,0,0
"154","http://www.3cixty.com/ontology#posterScore","2016-09-09",44968,44968,1,1,0,0
"155","http://www.3cixty.com/ontology#posterScore","2016-03-11",20692,20692,1,1,0,0
"156","http://www.3cixty.com/ontology#posterScore","2016-05-13",26827,26827,1,1,0,0
"157","http://www.3cixty.com/ontology#posterScore","2016-06-15",41018,41018,1,1,0,0
"158","http://www.3cixty.com/ontology#posterScore","2016-05-03",26066,26066,1,1,0,0
"159","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-04-09",27858,83574,3,2.99295681355747,0.0130416505722232,0.00461091977874223
"160","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-03-22",20692,62076,3,2.99295681355747,0.0130416505722232,0.00461091977874223
"161","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-06-15",41018,121904,2.97196352820713,2.99295681355747,0.0130416505722232,0.00461091977874223
"162","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-05-13",26827,80481,3,2.99295681355747,0.0130416505722232,0.00461091977874223
"163","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-05-27",25828,77484,3,2.99295681355747,0.0130416505722232,0.00461091977874223
"164","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-03-11",20692,62076,3,2.99295681355747,0.0130416505722232,0.00461091977874223
"165","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-05-03",26066,78198,3,2.99295681355747,0.0130416505722232,0.00461091977874223
"166","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-09-09",44968,133631,2.97169098025262,2.99295681355747,0.0130416505722232,0.00461091977874223
"167","http://www.w3.org/2000/01/rdf-schema#label","2016-03-22",20692,20692,1,1,0,0
"168","http://www.w3.org/2000/01/rdf-schema#label","2016-04-09",27858,27858,1,1,0,0
"169","http://www.w3.org/2000/01/rdf-schema#label","2016-05-13",26827,26827,1,1,0,0
"170","http://www.w3.org/2000/01/rdf-schema#label","2016-03-11",20692,20692,1,1,0,0
"171","http://www.w3.org/2000/01/rdf-schema#label","2016-05-03",26066,26066,1,1,0,0
