"","p","dep","freq","number_of_distinct_entity","normFreq","mean","sd","sem"
"120","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-06-15",4364,2182,2,2,0,0
"121","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-05-13",2818,1409,2,2,0,0
"122","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-03-11",1210,605,2,2,0,0
"123","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-04-09",2602,1301,2,2,0,0
"124","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-03-22",1210,605,2,2,0,0
"125","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","2016-09-09",1378,689,2,2,0,0
"126","http://www.w3.org/2000/01/rdf-schema#label","2016-06-15",2189,2182,1.0032080659945,1.00358787159039,0.00468644675793765,0.00165690914110371
"127","http://www.w3.org/2000/01/rdf-schema#label","2016-04-09",1312,1301,1.00845503458878,1.00358787159039,0.00468644675793765,0.00165690914110371
"128","http://www.w3.org/2000/01/rdf-schema#label","2016-05-27",1894,1883,1.00584174190122,1.00358787159039,0.00468644675793765,0.00165690914110371
"129","http://www.w3.org/2000/01/rdf-schema#label","2016-03-11",605,605,1,1.00358787159039,0.00468644675793765,0.00165690914110371
"130","http://www.w3.org/2000/01/rdf-schema#label","2016-05-03",1312,1301,1.00845503458878,1.00358787159039,0.00468644675793765,0.00165690914110371
"131","http://www.w3.org/2000/01/rdf-schema#label","2016-09-09",686,689,0.995645863570392,1.00358787159039,0.00468644675793765,0.00165690914110371
"132","http://www.w3.org/2000/01/rdf-schema#label","2016-05-13",1419,1409,1.00709723207949,1.00358787159039,0.00468644675793765,0.00165690914110371
"133","http://www.w3.org/2000/01/rdf-schema#label","2016-03-22",605,605,1,1.00358787159039,0.00468644675793765,0.00165690914110371
"134","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-05-13",412,1409,0.292405961674947,0.300544386441676,0.111619748469327,0.0394635405284988
"135","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-04-09",348,1301,0.267486548808609,0.300544386441676,0.111619748469327,0.0394635405284988
"136","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-03-11",99,605,0.163636363636364,0.300544386441676,0.111619748469327,0.0394635405284988
"137","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-05-27",706,1883,0.374933616569304,0.300544386441676,0.111619748469327,0.0394635405284988
"138","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-09-09",334,689,0.484760522496372,0.300544386441676,0.111619748469327,0.0394635405284988
"139","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-06-15",851,2182,0.390009165902841,0.300544386441676,0.111619748469327,0.0394635405284988
"140","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-05-03",348,1301,0.267486548808609,0.300544386441676,0.111619748469327,0.0394635405284988
"141","http://www.w3.org/2000/01/rdf-schema#seeAlso","2016-03-22",99,605,0.163636363636364,0.300544386441676,0.111619748469327,0.0394635405284988
"142","http://www.w3.org/2002/07/owl#sameAs","2016-04-09",1301,1301,1,0.911329041123416,0.13580448077006,0.0480141346340137
"143","http://www.w3.org/2002/07/owl#sameAs","2016-05-27",1580,1883,0.839086563993627,0.911329041123416,0.13580448077006,0.0480141346340137
"144","http://www.w3.org/2002/07/owl#sameAs","2016-03-11",605,605,1,0.911329041123416,0.13580448077006,0.0480141346340137
"145","http://www.w3.org/2002/07/owl#sameAs","2016-05-13",1409,1409,1,0.911329041123416,0.13580448077006,0.0480141346340137
"146","http://www.w3.org/2002/07/owl#sameAs","2016-05-03",1301,1301,1,0.911329041123416,0.13580448077006,0.0480141346340137
"147","http://www.w3.org/2002/07/owl#sameAs","2016-03-22",605,605,1,0.911329041123416,0.13580448077006,0.0480141346340137
"148","http://www.w3.org/2002/07/owl#sameAs","2016-06-15",1777,2182,0.814390467461045,0.911329041123416,0.13580448077006,0.0480141346340137
"149","http://www.w3.org/2002/07/owl#sameAs","2016-09-09",439,689,0.637155297532656,0.911329041123416,0.13580448077006,0.0480141346340137
