"count201504","count201510","count33","count34","count35","count36","count37","count38","count39","count40","count43","id","property"
0,0,0,13091,0,0,0,0,0,0,0,741," http://dbpedia.org/ontology/Person/deathPlace"
0,0,0,349,0,0,0,0,0,0,0,742," http://dbpedia.org/ontology/Person/education"
0,0,0,107,0,0,0,0,0,0,0,743," http://dbpedia.org/ontology/Person/employer"
0,0,0,255,0,0,0,0,0,0,0,744," http://dbpedia.org/ontology/Person/ethnicity"
0,0,0,128,0,0,0,0,0,0,0,745," http://dbpedia.org/ontology/Person/father"
94204,139445,0,2103,0,1894,17355,22972,49983,119485,148192,746," http://dbpedia.org/ontology/Person/height"
0,0,0,1056,0,0,0,0,0,0,0,747," http://dbpedia.org/ontology/Person/homeTown"
0,0,0,1425,0,0,0,0,0,0,0,748," http://dbpedia.org/ontology/Person/influenced"
0,0,0,1997,0,0,0,0,0,0,0,749," http://dbpedia.org/ontology/Person/influencedBy"
0,0,0,1927,0,0,0,0,0,0,0,750," http://dbpedia.org/ontology/Person/knownFor"
0,0,0,124,0,0,0,0,0,0,0,751," http://dbpedia.org/ontology/Person/mother"
0,0,0,1976,0,0,0,0,0,0,0,752," http://dbpedia.org/ontology/Person/nationality"
0,0,0,39,0,0,0,0,0,0,0,753," http://dbpedia.org/ontology/Person/networth"
0,0,0,8747,0,0,0,0,0,0,0,754," http://dbpedia.org/ontology/Person/occupation"
0,0,0,3714,0,0,0,0,0,0,0,755," http://dbpedia.org/ontology/Person/otherName"
0,0,0,105,0,0,0,0,0,0,0,756," http://dbpedia.org/ontology/Person/partner"
0,0,0,1968,0,0,0,0,0,0,0,757," http://dbpedia.org/ontology/Person/party"
0,0,0,342,0,0,0,0,0,0,0,758," http://dbpedia.org/ontology/Person/predecessor"
0,0,0,119,0,0,0,0,0,0,0,759," http://dbpedia.org/ontology/Person/pseudonym"
0,0,0,301,0,0,0,0,0,0,0,760," http://dbpedia.org/ontology/Person/relation"
0,0,0,114,0,0,0,0,0,0,0,761," http://dbpedia.org/ontology/Person/relative"
0,0,0,1134,0,0,0,0,0,0,0,762," http://dbpedia.org/ontology/Person/religion"
0,0,0,1180,0,0,0,0,0,0,0,763," http://dbpedia.org/ontology/Person/residence"
0,0,0,2179,0,0,0,0,0,0,0,764," http://dbpedia.org/ontology/Person/restingPlace"
0,0,0,9,0,0,0,0,0,0,0,765," http://dbpedia.org/ontology/Person/restingPlaceCoordinates"
0,0,0,11,0,0,0,0,0,0,0,766," http://dbpedia.org/ontology/Person/salary"
0,0,0,1840,0,0,0,0,0,0,0,767," http://dbpedia.org/ontology/Person/spouse"
0,0,0,343,0,0,0,0,0,0,0,768," http://dbpedia.org/ontology/Person/successor"
0,0,0,9,0,0,0,0,0,0,0,769," http://dbpedia.org/ontology/Person/term"
0,0,0,400,0,0,0,0,0,0,0,770," http://dbpedia.org/ontology/Person/title"
33103,67412,0,1078,0,5007,31092,34616,50605,58923,66144,771," http://dbpedia.org/ontology/Person/weight"
0,0,0,1,0,0,0,0,0,0,0,780," http://dbpedia.org/ontology/Place/location"
0,0,0,3,0,0,0,0,0,0,0,806," http://dbpedia.org/ontology/PokerPlayer/hometown"
0,0,0,0,0,0,1,0,0,0,0,811," http://dbpedia.org/ontology/PopulatedPlace/areaTotal"
0,0,0,0,0,3,2,0,0,0,0,831," http://dbpedia.org/ontology/PopulatedPlace/populationDensity"
0,0,0,20,0,0,0,0,0,0,0,922," http://dbpedia.org/ontology/RugbyPlayer/school"
0,0,0,10,0,0,0,0,0,0,0,923," http://dbpedia.org/ontology/RugbyPlayer/university"
0,0,0,7,0,0,0,0,0,0,0,924," http://dbpedia.org/ontology/Saint/beatifiedBy"
0,0,0,6,0,0,0,0,0,0,0,925," http://dbpedia.org/ontology/Saint/beatifiedDate"
0,0,0,2,0,0,0,0,0,0,0,926," http://dbpedia.org/ontology/Saint/beatifiedPlace"
0,0,0,4,0,0,0,0,0,0,0,927," http://dbpedia.org/ontology/Saint/canonizedBy"
0,0,0,6,0,0,0,0,0,0,0,928," http://dbpedia.org/ontology/Saint/canonizedDate"
0,0,0,14,0,0,0,0,0,0,0,930," http://dbpedia.org/ontology/Saint/feastDay"
0,0,0,7,0,0,0,0,0,0,0,931," http://dbpedia.org/ontology/Saint/majorShrine"
0,0,0,22,0,0,0,0,0,0,0,933," http://dbpedia.org/ontology/Saint/veneratedIn"
0,0,0,51,0,0,0,0,0,0,0,978," http://dbpedia.org/ontology/Scientist/academicAdvisor"
0,0,0,398,0,0,0,0,0,0,0,979," http://dbpedia.org/ontology/Scientist/doctoralAdvisor"
0,0,0,839,0,0,0,0,0,0,0,980," http://dbpedia.org/ontology/Scientist/doctoralStudent"
0,0,0,98,0,0,0,0,0,0,0,981," http://dbpedia.org/ontology/Scientist/notableStudent"
0,0,0,3103,0,0,0,0,0,0,0,1028," http://dbpedia.org/ontology/SoccerPlayer/club"
0,0,0,157,0,0,0,0,0,0,0,1031," http://dbpedia.org/ontology/SoccerPlayer/managerClub"
0,0,0,57,0,0,0,0,0,0,0,1032," http://dbpedia.org/ontology/SoccerPlayer/managerYears"
0,0,0,410,0,0,0,0,0,0,0,1033," http://dbpedia.org/ontology/SoccerPlayer/nationalTeam"
